BeginTime,SrcIP,DstIP,SrcPort,DstPort
2016-09-13T09:21:19.822Z,192.168.30.129,192.168.30.1,50898,5544
2016-09-13T09:21:19.828Z,192.168.30.129,192.168.30.1,50898,65129
2016-09-13T09:21:19.828Z,192.168.30.129,192.168.30.1,50898,4005
2016-09-13T09:21:19.832Z,192.168.30.129,192.168.30.1,50898,593
2016-09-13T09:21:19.832Z,192.168.30.129,192.168.30.1,50898,85
2016-09-13T09:21:19.832Z,192.168.30.129,192.168.30.1,50898,1058
2016-09-13T09:21:19.832Z,192.168.30.129,192.168.30.1,50898,5960
2016-09-13T09:21:19.902Z,192.168.30.129,192.168.30.1,50899,3369
2016-09-13T09:21:19.910Z,192.168.30.129,192.168.30.1,50899,3971
2016-09-13T09:21:19.919Z,192.168.30.129,192.168.30.1,50899,49
2016-09-13T09:21:19.922Z,192.168.30.129,192.168.30.1,50899,5544
2016-09-13T09:21:19.925Z,192.168.30.129,192.168.30.1,50899,4005
2016-09-13T09:21:19.925Z,192.168.30.129,192.168.30.1,50899,65129
2016-09-13T09:21:19.928Z,192.168.30.129,192.168.30.1,50899,593
2016-09-13T09:21:19.931Z,192.168.30.129,192.168.30.1,50899,85
2016-09-13T09:21:19.934Z,192.168.30.129,192.168.30.1,50899,5960
2016-09-13T09:21:19.934Z,192.168.30.129,192.168.30.1,50899,1058
2016-09-13T09:21:20.004Z,192.168.30.129,192.168.30.1,50898,2601
2016-09-13T09:21:20.011Z,192.168.30.129,192.168.30.1,50898,9080
2016-09-13T09:21:20.021Z,192.168.30.129,192.168.30.1,50898,5033
2016-09-13T09:21:20.024Z,192.168.30.129,192.168.30.1,50898,3372
2016-09-13T09:21:20.027Z,192.168.30.129,192.168.30.1,50898,1152
2016-09-13T09:21:20.027Z,192.168.30.129,192.168.30.1,50898,5500
2016-09-13T09:21:20.030Z,192.168.30.129,192.168.30.1,50898,55055
2016-09-13T09:21:20.033Z,192.168.30.129,192.168.30.1,50898,17
2016-09-13T09:21:20.036Z,192.168.30.129,192.168.30.1,50898,1971
2016-09-13T09:21:20.036Z,192.168.30.129,192.168.30.1,50898,49165
2016-09-13T09:21:20.104Z,192.168.30.129,192.168.30.1,50899,2601
2016-09-13T09:21:20.112Z,192.168.30.129,192.168.30.1,50899,9080
2016-09-13T09:21:20.121Z,192.168.30.129,192.168.30.1,50899,5033
2016-09-13T09:21:20.124Z,192.168.30.129,192.168.30.1,50899,3372
2016-09-13T09:21:20.127Z,192.168.30.129,192.168.30.1,50899,5500
2016-09-13T09:21:20.127Z,192.168.30.129,192.168.30.1,50899,1152
2016-09-13T09:21:20.130Z,192.168.30.129,192.168.30.1,50899,55055
2016-09-13T09:21:20.134Z,192.168.30.129,192.168.30.1,50899,17
2016-09-13T09:21:20.137Z,192.168.30.129,192.168.30.1,50899,49165
2016-09-13T09:21:20.137Z,192.168.30.129,192.168.30.1,50899,1971
2016-09-13T09:21:20.205Z,192.168.30.129,192.168.30.1,50898,9111
2016-09-13T09:21:20.212Z,192.168.30.129,192.168.30.1,50898,146
2016-09-13T09:21:20.221Z,192.168.30.129,192.168.30.1,50898,2301
2016-09-13T09:21:20.224Z,192.168.30.129,192.168.30.1,50898,19283
2016-09-13T09:21:20.227Z,192.168.30.129,192.168.30.1,50898,50500
2016-09-13T09:21:20.227Z,192.168.30.129,192.168.30.1,50898,1433
2016-09-13T09:21:20.231Z,192.168.30.129,192.168.30.1,50898,2047
2016-09-13T09:21:20.235Z,192.168.30.129,192.168.30.1,50898,5120
2016-09-13T09:21:20.238Z,192.168.30.129,192.168.30.1,50898,5190
2016-09-13T09:21:20.238Z,192.168.30.129,192.168.30.1,50898,10082
2016-09-13T09:21:20.306Z,192.168.30.129,192.168.30.1,50899,9111
2016-09-13T09:21:20.313Z,192.168.30.129,192.168.30.1,50899,146
2016-09-13T09:21:20.322Z,192.168.30.129,192.168.30.1,50899,2301
2016-09-13T09:21:20.325Z,192.168.30.129,192.168.30.1,50899,19283
2016-09-13T09:21:20.329Z,192.168.30.129,192.168.30.1,50899,1433
2016-09-13T09:21:20.329Z,192.168.30.129,192.168.30.1,50899,50500
2016-09-13T09:21:20.332Z,192.168.30.129,192.168.30.1,50899,2047
2016-09-13T09:21:20.336Z,192.168.30.129,192.168.30.1,50899,5120
2016-09-13T09:21:20.340Z,192.168.30.129,192.168.30.1,50899,10082
2016-09-13T09:21:20.340Z,192.168.30.129,192.168.30.1,50899,5190
2016-09-13T09:21:20.407Z,192.168.30.129,192.168.30.1,50898,55555
2016-09-13T09:21:20.414Z,192.168.30.129,192.168.30.1,50898,6129
